DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    Total HDB Dwellings,221694,222631,224670,218602,215081,221288,223336,227509,236674,242006,247442,249370,248245,246762,246738,250582,255239,259563,261968,264759,264773,265861,264585,267001,265468,262232
        HDB 1- And 2-Room Flats,10201,9746,9321,8712,8542,8475,8323,7850,7844,8279,8438,8318,8122,7590,7236,6954,6728,6610,6448,6326,6362,6608,6855,7405,7970,8622
        HDB 3-Room Flats,36354,37442,38880,38678,38822,40405,41371,42940,45184,46488,47569,47908,47742,48223,49021,50297,51803,52714,53663,54342,54786,55860,56680,58610,60548,63318
        HDB 4-Room Flats,101606,102060,102746,99534,96547,98401,97774,98125,100152,100561,101498,101422,100529,99634,99434,101610,104022,106448,107952,109619,109333,109633,108565,109074,107726,105606
        HDB 5-Room And Executive Flats,73533,73383,73723,71678,71170,74007,75868,78594,83494,86492,89739,91491,91484,90894,90595,91152,92119,93190,93130,93578,93322,92704,91240,90337,87120,82302
    Condominiums & Other Apartments,74725,72169,69659,65962,62891,62176,61030,59246,57014,52909,49869,46676,44415,42476,40626,39444,38159,37555,38405,37069,34886,32698,30680,29653,27377,24430
    Landed Properties,13731,13767,14141,13645,13247,14163,14609,14932,15728,16318,17030,17517,17395,17095,16777,16862,16924,17503,18051,18616,19290,19968,20468,21550,22366,22748
    Other Types Of Dwelling,1622,1692,1703,1662,1551,1664,1788,1953,2068,2212,2414,2460,2526,2490,2473,2553,2661,2742,2625,2573,2523,2530,2549,2659,2785,3010
45-49 Years,302015,301224,302515,304317,300125,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991,323459,322497,318078,315552,312858,307546,300671,292791,286738,274569,262201
    Total HDB Dwellings,212951,213957,216569,218708,217875,228505,230541,230679,231443,234198,240023,246846,254959,260192,263727,263601,263613,260599,258362,256658,252963,247936,242015,236958,227712,217917
        HDB 1- And 2-Room Flats,11186,10924,10577,10374,10423,10476,10231,10041,10005,10276,10755,10806,10613,9898,9342,8770,8412,8298,8326,8406,8371,8183,8016,8057,8062,8407
        HDB 3-Room Flats,37591,38426,39727,40979,41425,43905,44340,44529,44807,45752,47143,49275,51467,53410,54918,54994,55077,54432,54350,54422,54741,54538,55271,55978,56583,57809
        HDB 4-Room Flats,92183,91862,91935,91338,89599,92941,93144,93033,93156,94082,96829,99893,103575,106167,107861,107922,108130,106825,105809,105277,103639,102008,99599,97381,91903,86382
        HDB 5-Room And Executive Flats,71991,72745,74330,76017,76428,81183,82826,83076,83475,83922,85118,86635,88847,90127,90941,91110,91112,90108,88720,87375,84980,81976,77816,74012,69098,63144
    Condominiums & Other Apartments,71413,69284,67395,66700,63774,63531,61194,57420,52171,47109,43368,40863,39668,38484,37578,36385,34868,33289,32934,31633,29676,27579,25580,24090,21446,19091
    Landed Properties,15905,16224,16696,16997,16639,17808,18071,17831,17793,17663,17786,18434,19013,19460,19973,20672,21152,21433,21797,22206,22503,22755,22673,23081,22764,22423
    Other Types Of Dwelling,1746,1759,1855,1912,1837,1896,1876,1908,2050,2213,2236,2390,2696,2789,2713,2801,2864,2757,2459,2361,2404,2401,2523,2609,2647,2770
50-54 Years,308978,307332,302367,292984,285962,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130,303044,297383,289189,279220,266994,254168,244110,233180,230367,223842,206657
    Total HDB Dwellings,222853,224042,223214,218498,216576,227285,234631,242985,248778,253729,255201,256890,256259,255239,253979,249941,245139,238500,229673,219772,209558,202095,193637,190082,184889,171020
        HDB 1- And 2-Room Flats,12485,12329,12111,11805,11974,12518,12871,12968,12993,13097,12896,12585,12176,11526,10941,10150,9646,9348,8884,8407,7973,7809,7515,7782,7924,7969
        HDB 3-Room Flats,42301,42872,42941,42185,41880,44482,46407,48531,50108,51622,52255,53116,53225,53671,54483,54106,53502,52792,51752,50559,49504,49658,49720,51314,53262,52523
        HDB 4-Room Flats,90041,89885,89317,87481,86606,91226,94498,98342,101111,103107,103721,104422,103995,103494,103143,101970,100477,98129,94850,90692,86207,82293,78090,75304,71274,64362
        HDB 5-Room And Executive Flats,78026,78956,78845,77027,76116,79059,80855,83144,84566,85688,86096,86470,86208,85709,84560,82686,80480,77201,73092,69038,64839,61251,57114,54122,50460,44115
    Condominiums & Other Apartments,65796,62780,58889,54825,50636,49225,47021,45106,42581,39624,37050,35013,32837,31231,29979,28639,27296,26088,25300,23631,21418,19409,17367,17088,15460,13333
    Landed Properties,18360,18594,18388,17723,16885,17624,17997,18653,19132,19754,20210,20888,21145,21251,21586,21911,22358,22098,21845,21323,20941,20467,20066,20896,21029,19781
    Other Types Of Dwelling,1969,1916,1876,1938,1865,1934,2033,2221,2323,2491,2630,2712,2747,2655,2586,2553,2590,2503,2402,2268,2251,2139,2110,2301,2464,2523
55-59 Years,289783,294228,300668,299835,298226,305830,306759,304390,301678,299591,295063,288392,281069,271817,260678,248696,239947,229356,220983,214601,197803,174788,157894,143175,125449,125061
    Total HDB Dwellings,222560,229002,236500,238019,238715,245288,247491,246817,246038,245893,243163,238087,232703,225488,216258,206206,198918,190143,182376,176833,163160,144495,131123,118421,104153,104748
